quote_author_handle,quote_author_category,quote_posted_at,quote_tweet_id,quote_tweet_url,quote_text,core_handle,core_posted_at,quoted_core_tweet_id,core_tweet_url,core_text,core_media_ids,core_media_types,core_release_asset_urls,core_quote_count
AnnaKelly47,public,2025-06-24T00:17:23.000Z,1937304006033867103,https://x.com/AnnaKelly47/status/1937304006033867103,"ONLY President Trump could have accomplished this.

America and the entire world is safer thanks to our Peacemaker-in-Chief! 🇺🇸",PressSec,2025-06-24T00:10:21.000Z,1937302239212687567,https://x.com/PressSec/status/1937302239212687567,"IN 48 HOURS, PRESIDENT TRUMP:

Directed one of the most secretive and successful military strikes in history

Obliterated Iran’s nuclear program

Successfully brokered a ceasefire between Israel and Iran effectively ending the “12-Day-War”

All of this was only possible because of President Trump’s courage, strong leadership, and steadfast perseverance to pursue PEACE. 🇺🇸",,,,431
AnnaKelly47,public,2025-06-27T23:13:36.000Z,1938737506654036287,https://x.com/AnnaKelly47/status/1938737506654036287,Peacemaker in Chief! ✌️,WhiteHouse,2025-06-27T21:28:55.000Z,1938711163950305764,https://x.com/WhiteHouse/status/1938711163950305764,"President Trump welcomed the Foreign Ministers of Rwanda and the Democratic Republic of Congo to the Oval Office to sign a historic peace agreement, ending a 30-year conflict.

""Today, the violence &amp; destruction come to an end, &amp; the entire region begins a new chapter of hope."" https://t.co/20P2SMBQiR",3_1938709144761999360,photo,,505
AnnaKelly47,public,2025-07-03T15:21:10.000Z,1940792943570481607,https://x.com/AnnaKelly47/status/1940792943570481607,So many devastating Ls for the PANICANS!,RapidResponse47,2025-07-03T13:03:49.000Z,1940758377921155552,https://x.com/RapidResponse47/status/1940758377921155552,"CNN: ""This jobs market is like the Energizer Bunny. Every single time we expect it to run out of steam, it just keeps going and going.""

""We were also expecting a slowdown — we did NOT get that.""

""The unemployment rate was expected to go up — it didn't. It went DOWN.""

🔥🔥🔥 https://t.co/glEpmwgFSX",13_1940757659428261888,video,,144
AnnaKelly47,public,2025-08-29T17:50:00.000Z,1961486507987902832,https://x.com/AnnaKelly47/status/1961486507987902832,💪,WhiteHouse,2025-08-29T16:04:47.000Z,1961460028851839048,https://x.com/WhiteHouse/status/1961460028851839048,"Make D.C. Safe Again 🇺🇸

✅ 1369 arrests
✅ 140 illegal guns seized https://t.co/EQPv0XeukK",3_1961459242461761536,photo,,93
AnnaKelly47,public,2025-09-20T00:15:03.000Z,1969193554342715572,https://x.com/AnnaKelly47/status/1969193554342715572,💪💪,WhiteHouse,2025-09-20T00:14:28.000Z,1969193407667929312,https://x.com/WhiteHouse/status/1969193407667929312,ON VIDEO: U.S. Military Forces conducted a strike against a designated terrorist organization engaged in narcotrafficking. Intelligence confirmed the vessel was trafficking illicit narcotics and was en route to poison Americans. The strike killed three male narcoterrorists. https://t.co/wjxRRMrxwB,13_1969188118344450048,video,,632
AnnaKelly47,public,2025-11-17T22:49:38.000Z,1990552939107356816,https://x.com/AnnaKelly47/status/1990552939107356816,"CONGRATULATIONS, WORLD! ✌️",RapidResponse47,2025-11-17T22:45:23.000Z,1990551873036955905,https://x.com/RapidResponse47/status/1990551873036955905,https://t.co/8K2w4RYVCs,3_1990551867978297344,photo,,91
AnnaKelly47,public,2025-12-08T20:21:07.000Z,1998125712214229425,https://x.com/AnnaKelly47/status/1998125712214229425,"Farmers suffered for YEARS under Joe Biden’s policies, which increased the trade deficit and raised input costs.

The President is ensuring that our farmers have the support they need to bridge the gap as successful TRUMP policies take effect! 🐄🌽",WhiteHouse,2025-12-08T20:07:25.000Z,1998122264005394785,https://x.com/WhiteHouse/status/1998122264005394785,"WE ❤️OUR FARMERS 🚜

""I'm delighted to announce this afternoon that the United States will be taking a small portion of the hundreds of billions of dollars we receive in tariffs... We're going to use that money to provide $12B in economic assistance to American farmers."" @POTUS https://t.co/yLDQ8DNot4",13_1998121207992885249,video,,285
AnnaKelly47,public,2025-12-17T15:11:39.000Z,2001309321347371036,https://x.com/AnnaKelly47/status/2001309321347371036,🇺🇸🙏,PressSec,2025-12-17T15:07:40.000Z,2001308321177878925,https://x.com/PressSec/status/2001308321177878925,"Today, President Trump is traveling to Dover Air Force Base to pay his respects at the dignified transfer for the two Iowa National Guard Members.

The President loves our military heroes, and he is honored to stand with these soldiers’ families today.",,,,40
AnnaKelly47,public,2026-01-06T21:05:58.000Z,2008646246349893663,https://x.com/AnnaKelly47/status/2008646246349893663,The most transparent and accessible President in history! 👏,RapidResponse47,2026-01-06T20:53:02.000Z,2008642990513025471,https://x.com/RapidResponse47/status/2008642990513025471,"Transcripts Show Trump Spoke for over 13,400 Minutes in 2025, Talked to Press at 74 Percent of Events
https://www.breitbart.com/politics/2026/01/06/exclusive-transcripts-show-trump-spoke-for-over-13400-minutes-in-2025-talked-to-press-at-74-percent-of-events/",,,,13
AnnaKelly47,public,2026-01-26T20:23:34.000Z,2015883333490594275,https://x.com/AnnaKelly47/status/2015883333490594275,"President Trump pledged to bring back ALL of the hostages, living and deceased.

Promises made, promises kept!",RapidResponse47,2026-01-26T18:56:01.000Z,2015861301340262757,https://x.com/RapidResponse47/status/2015861301340262757,".@PressSec: ""The last remaining body of the Israeli hostages in Gaza has been returned. This is a huge foreign policy feat... @POTUS made the impossible possible."" https://t.co/LNrdb7G5Hy",13_2015860778666995712,video,,11
AnnaKelly47,public,2026-02-19T15:19:44.000Z,2024504181382427055,https://x.com/AnnaKelly47/status/2024504181382427055,Amazing! 👏👏,RapidResponse47,2026-02-19T15:18:56.000Z,2024503979615428656,https://x.com/RapidResponse47/status/2024503979615428656,".@POTUS announces commitments of more than $7B toward the Gaza relief package from members of the @BoardOfPeace:

""Every dollar spent is an investment in stability... We want to have a harmonious Middle East."" https://t.co/I5P1r9jHhz",13_2024503224565125120,video,,19
AnnaKelly47,public,2026-03-12T16:47:39.000Z,2032136449680658662,https://x.com/AnnaKelly47/status/2032136449680658662,"Outlets like @ABC have been playing fast and loose despite many Americans relying on them for solid, factual reporting during this conflict.

Reporters’ desire to be first with a “scoop” (and this wasn’t one) cannot supersede their duty to responsibly inform the public.",PressSec,2026-03-12T15:35:49.000Z,2032118372901527884,https://x.com/PressSec/status/2032118372901527884,"This post and story should be immediately retracted by ABC News for providing false information to intentionally alarm the American people.

They wrote this based on one email that was sent to local law enforcement in California about a single, unverified tip. The email even states the tip was based on *unverified* intelligence. Yet ABC News left out this critical fact in their story! WHY?

TO BE CLEAR: No such threat from Iran to our homeland exists, and it never did.",,,,2228
AnnaKelly47,public,2026-03-13T15:37:25.000Z,2032481160853434536,https://x.com/AnnaKelly47/status/2032481160853434536,"AMAZING statistic from @SecWar today:

- Iranian ballistic missile attacks are DOWN 90%.
- Their drone attacks are DOWN 95%.

This is a testament to the incredible planning behind Operation Epic Fury and our warfighters' ability to execute.

EVERYONE should be covering this!",RapidResponse47,2026-03-13T12:13:41.000Z,2032429892097163285,https://x.com/RapidResponse47/status/2032429892097163285,"""Never before has a modern, capable military, which Iran used to have, been so quickly destroyed and made combat ineffective — devastated. We said it would not be a fair fight, and it has not been,"" says @SecWar on Operation Epic Fury.

""Iran has no air defenses. Iran has no air force. Iran has no navy. Their missiles, their missile launchers and drones are being destroyed or shot out of the sky. Their missile volume is down 90%... and as the world is seeing, they are exercising sheer desperation in the Straits of Hormuz.""",13_2032429109117161472,video,,58
AnnaKelly47,public,2026-04-05T04:14:08.000Z,2040644130141847935,https://x.com/AnnaKelly47/status/2040644130141847935,🇺🇸🙏,RapidResponse47,2026-04-05T04:10:58.000Z,2040643331491811687,https://x.com/RapidResponse47/status/2040643331491811687,https://t.co/ZqujhrFC4d,3_2040643328325124096,photo,,469
AnnaKelly47,public,2026-04-13T17:32:52.000Z,2043744240337928304,https://x.com/AnnaKelly47/status/2043744240337928304,NO TAX ON TIPS is helping Americans like Sharon and working families across the country!,RapidResponse47,2026-04-13T16:47:17.000Z,2043732767406432269,https://x.com/RapidResponse47/status/2043732767406432269,".@POTUS has @McDonalds delivered via @DoorDash to the Oval Office — highlighting the benefit of NO TAX ON TIPS on American workers.

""I saved over $11,000 by not having to claim."" https://t.co/1PsA5OY1IE",13_2043732534333452289,video,https://github.com/vidproject/x/releases/download/media-RapidResponse47/13_2043732534333452289.mp4,135
AnnaKelly47,public,2026-05-08T12:50:38.000Z,2052732912504541286,https://x.com/AnnaKelly47/status/2052732912504541286,"Unlike past administrations, President Trump isn’t trying to discredit information or dissuade the public on Unidentified Aerial Phenomena (UAP).

The American people can ultimately make up their own minds about the files located at http://WAR.GOV/UFO!",RapidResponse47,2026-05-08T12:39:47.000Z,2052730180699828291,https://x.com/RapidResponse47/status/2052730180699828291,"Fox News: ""The Trump Administration releasing the first batch of files related to UFOs and alien life.""

""All of these videos have gone live at http://war.gov/UFO."" https://t.co/WQqZ4aKm1w",13_2052729397199724547,video,https://github.com/vidproject/x/releases/download/media-RapidResponse47/13_2052729397199724547.mp4,124
AnnaKelly47,public,2026-05-20T16:30:59.000Z,2057137018044391729,https://x.com/AnnaKelly47/status/2057137018044391729,President Trump loves our United States Coast Guard! 🇺🇸,WhiteHouse,2026-05-20T15:12:19.000Z,2057117219604078618,https://x.com/WhiteHouse/status/2057117219604078618,President Trump Delivers a Commencement Address to the United States Coast Guard Academy https://x.com/i/broadcasts/1qKVmQjRjkPxB,,,,35
AnnaKelly47,public,2026-06-05T00:50:28.000Z,2062698535439466795,https://x.com/AnnaKelly47/status/2062698535439466795,AMERICAN FLAG BLUE incoming! 🇺🇸🤩,WhiteHouse,2026-06-04T21:45:52.000Z,2062652076862157126,https://x.com/WhiteHouse/status/2062652076862157126,"The water is ON, the Reflecting Pool is reflecting, and D.C. is looking better than ever.

We are so back. THANK YOU, PRESIDENT TRUMP. 🇺🇸 https://t.co/J3xE33XiA5",3_2062652073414422528 3_2062652073410191360,photo photo, ,1077
ArthurMacwaters,public,2026-05-13T04:33:40.000Z,2054419784989864150,https://x.com/ArthurMacwaters/status/2054419784989864150,Zuck seeing that Elon and “Tim Apple” got to go to China but he didn’t https://t.co/8wYTg3UGlr,RapidResponse47,2026-05-13T03:10:26.000Z,2054398839256150417,https://x.com/RapidResponse47/status/2054398839256150417,https://t.co/ZyQvQlAE79,3_2054398835774861312,photo,https://github.com/vidproject/x/releases/download/media-RapidResponse47/3_2054398835774861312.jpg,367
BadIdeaGuyJohn1,public,2025-06-28T12:37:37.000Z,1938939843649888554,https://x.com/BadIdeaGuyJohn1/status/1938939843649888554,Being banned from the USA for doing something legal in the place you did it isn’t political… that’s why we searched your entire online existence.,CBP,2025-06-24T23:17:30.000Z,1937651325354795444,https://x.com/CBP/status/1937651325354795444,"Fact Check: FALSE

Mads Mikkelsen was not denied entry for any memes or political reasons, it was for his admitted drug use. https://t.co/is9eGqILUq",3_1937651322414596096,photo,https://github.com/vidproject/x/releases/download/media-CBP-0002/3_1937651322414596096.jpg,1755
BadIdeaGuyJohn1,public,2026-04-23T14:55:34.000Z,2047328533140197876,https://x.com/BadIdeaGuyJohn1/status/2047328533140197876,"I made a post about Nikita Bier being the worst at any job on the planet this morning before I saw 👀 this.

Apologies to @nikitabier , you’re the worst person who still has their job. Bovino was epically terrible, set marks that may not be achieved again.",GregoryKBovino,2026-04-23T01:45:19.000Z,2047129661680087371,https://x.com/GregoryKBovino/status/2047129661680087371,"@ReichlinMelnick Aaron, the 100 million is a solid figure.  No conspiracy theories, just research melded with 30 years as an immigration officer mixed in with this thing called common sense",,,,81
BehizyTweets,public,2025-11-27T06:02:18.000Z,1993923316646858830,https://x.com/BehizyTweets/status/1993923316646858830,"You needed a tragedy to happen to stop processing Afghans coming into the United States?

Come on... be serious. This should've been done at exactly 12:01 on January 20th, 2025.",USCIS,2025-11-27T03:20:53.000Z,1993882694640415163,https://x.com/USCIS/status/1993882694640415163,"Effective immediately, processing of all immigration requests relating to Afghan nationals is stopped indefinitely pending further review of security and vetting protocols.

The protection and safety of our homeland and of the American people remains our singular focus and mission.",,,,883
BehizyTweets,public,2025-12-26T00:34:03.000Z,2004349958393418068,https://x.com/BehizyTweets/status/2004349958393418068,"Dropping bombs on radical jihadists, who have been slaughtering Nigerian Christians, on Christmas Day, is such a Trump move.

HE MOGS EVERYONE.",PressSec,2025-12-25T23:00:08.000Z,2004326322458239166,https://x.com/PressSec/status/2004326322458239166,🚨NEW from President Trump: https://t.co/U4J5yv5MF4,3_2004326316175130624,photo,,786
BehizyTweets,public,2025-12-31T04:33:09.000Z,2006222066043724046,https://x.com/BehizyTweets/status/2006222066043724046,"ICE is about to unleash 10,000 new agents in 2026. Whatever Democrats were mad about this year may be nothing compared to what's coming.",WhiteHouse,2025-12-30T21:37:00.000Z,2006117341197721834,https://x.com/WhiteHouse/status/2006117341197721834,And we are JUST GETTING STARTED. 🔥 https://t.co/pTjvBwdsqb,13_2005977005611741184,video,,3056
BillMelugin_,public,2026-02-12T00:03:05.000Z,2021736781440340137,https://x.com/BillMelugin_/status/2021736781440340137,"ICE Los Angeles arrests a Mexican illegal alien who was previously arrested for sodomizing a child under the age of 10, sexual penetration of a victim under 14, and lewd acts with a child under 14.",EROLosAngeles,2026-02-11T19:46:00.000Z,2021672083667698162,https://x.com/EROLosAngeles/status/2021672083667698162,"🚨Los Angeles ERO arrested Jose Hilario Millan-Flores, 30, of Mexico, Feb. 2. Millan was arrested for lewd acts with child under 14, sodomy with victim under 10, sexual penetration of victim under 14 and obstructing a public officer. He is in ICE custody pending removal. https://t.co/kZhZF8bpGA",3_2021641754735525888,photo,https://github.com/vidproject/x/releases/download/media-EROLosAngeles/3_2021641754735525888.jpg,259
BillMelugin_,public,2026-04-09T20:08:01.000Z,2042333732103692360,https://x.com/BillMelugin_/status/2042333732103692360,"DHS confirms that this Haitian illegal alien was caught and released at the border by the Biden administration in August 2022. He was later ordered deported by an immigration judge, but the Biden administration shielded him from deportation by granting him TPS, which expired in 2024. The victim he brutally bludgeoned to death with a hammer was an innocent store clerk and mother of two.

This horrific video speaks for itself.",DHSgov,2026-04-09T19:39:15.000Z,2042326493406138806,https://x.com/DHSgov/status/2042326493406138806,"WARNING GRAPHIC:

These are the consequences of importing the third world.

Do not look away. https://t.co/IEoVMYr6k0",13_2042326405703139328,video,https://github.com/vidproject/x/releases/download/media-DHSgov/13_2042326405703139328.mp4,1761
BillMelugin_,public,2026-05-15T13:34:39.000Z,2055280700945764368,https://x.com/BillMelugin_/status/2055280700945764368,"Former Border Patrol commander Greg Bovino disagrees with the recent shift in the Trump administration to focus on targeted immigration enforcement &amp; prioritizing criminals.

“You want results? You create fear. Mass operations. Roving patrols. Zero mixed signals,” Bovino says.",GregoryKBovino,2026-05-15T12:02:07.000Z,2055257416418390056,https://x.com/GregoryKBovino/status/2055257416418390056,"Targeted enforcement under Tom Homan sounds smart on TV.
It’s actually one of the dumbest uses of manpower I’ve ever heard of.

Just laid it out on @MegynKellyShow

Here’s a real-world system failure straight from CBP officers who lived it and then relayed to me as having happened today:

They’re running surveillance on a Colombian crew tied to a wave of residential burglaries in Los Angeles. Four officers, full day on the house.

They watch the suspect’s three kids walk out. Then two other women roll up with four more kids and go inside. While they’re sitting there doing “precision” work, eight other illegals just stroll right past their position like it’s a parade.

End of shift?

One guy in custody.

The other 17? Still here!

Four trained officers.
Hours of surveillance.
One arrest.

That’s what “targeted enforcement” actually looks like on the ground.

It’s not strategy — it’s a jobs program for bureaucrats who want to look busy while the border starts to deteriorate and American families keep getting robbed.

You want results? You create fear. Mass operations. Roving patrols. Zero mixed signals.

Anything less is just expensive theater that tells every illegal in the country: “Relax, they’re only coming for the ‘bad ones’… eventually.”

The system is broken by design.

We’re not fixing it with teaspoons.",,,,74
BillMelugin_,public,2026-06-04T13:40:41.000Z,2062529977690501595,https://x.com/BillMelugin_/status/2062529977690501595,CBP interdicts a boat carrying 240 Haitian nationals who were in the process of trying to carry out a mass illegal migration to the United States.,CBPCommissioner,2026-06-04T11:12:23.000Z,2062492658921099403,https://x.com/CBPCommissioner/status/2062492658921099403,"Outstanding work by @CBPAMO, @USCG, and our international partners.

This week, Air Interdiction Agents located a vessel carrying 240 migrants from Haiti attempting an illegal maritime migration. The overcrowded vessel was taking on water and in danger of sinking.

Our personnel helped prevent what could have been a catastrophic loss of life while stopping yet another illegal migration attempt.

The message remains clear: illegal maritime migration is dangerous, it is not worth the risk, and you will not gain entry into the US.",3_2062492350916526081 3_2062492350937513984 13_2062492350929072129,photo photo video,https://github.com/vidproject/x/releases/download/media-CBPCommissioner/3_2062492350916526081.jpg https://github.com/vidproject/x/releases/download/media-CBPCommissioner/3_2062492350937513984.jpg https://github.com/vidproject/x/releases/download/media-CBPCommissioner/13_2062492350929072129.mp4,51
BrandonLBradfor,public,2026-04-23T08:53:02.000Z,2047237298304045251,https://x.com/BrandonLBradfor/status/2047237298304045251,"I'm sorry you think over a third of the US population is undocumented based on ""well that's what I personally see"" and you think it's common sense?",GregoryKBovino,2026-04-23T01:45:19.000Z,2047129661680087371,https://x.com/GregoryKBovino/status/2047129661680087371,"@ReichlinMelnick Aaron, the 100 million is a solid figure.  No conspiracy theories, just research melded with 30 years as an immigration officer mixed in with this thing called common sense",,,,81
CBP,core,2023-03-22T18:24:55.000Z,1638607707321118720,https://x.com/CBP/status/1638607707321118720,"Since its launch on March 13, Operation Blue Lotus—led by @CBP and @HSI_HQ—has already stopped more than 900 pounds of fentanyl from entering the United States.
Read more 🔽",DHSgov,2023-03-22T02:18:38.000Z,1638364533021351937,https://x.com/DHSgov/status/1638364533021351937,"NEW: Led by @CBP and @HSI_HQ, working alongside federal, state, tribal and local partners, DHS’s new Operation Blue Lotus stopped more than 900 pounds of fentanyl from coming into the U.S. in its first week. https://t.co/515dpHduDb",3_1638363857918861320,photo,https://github.com/vidproject/x/releases/download/media-DHSgov-0004/3_1638363857918861320.jpg,5
CBP,core,2025-01-31T23:15:12.000Z,1885466892887842829,https://x.com/CBP/status/1885466892887842829,"Our @CBPAMO agents are continuously on the frontline safeguarding our nation.

https://x.com/CBPAMO/status/1884723269170868557",CBPAMO,2025-01-29T22:00:18.000Z,1884723269170868557,https://x.com/CBPAMO/status/1884723269170868557,"Convicted #Murderer caught in smuggling attempt off the coast of southern #California!

ARELLANO-Mejia is being charged with 18 USC 1326(Reentry after Formal Removal), a felony offense.

Full Details: https://bit.ly/4hD04AP https://t.co/l1nQmOiiys",3_1884723248048283648,photo,https://github.com/vidproject/x/releases/download/media-CBPAMO/3_1884723248048283648.jpg,0
CBP,core,2025-02-27T15:30:24.000Z,1895134395893203255,https://x.com/CBP/status/1895134395893203255,"You can run, but you can't hide. We have eyes on land, in the air, and at sea. 👀

https://x.com/CBPAMO/status/1894401308725051650",CBPAMO,2025-02-25T14:57:22.000Z,1894401308725051650,https://x.com/CBPAMO/status/1894401308725051650,"CAUGHT!
On Feb. 17, an AMO MEA crew detected a vessel northeast of the Dominican Republic. The crew contacted the USCG maintaining surveillance of the vessel and vectored a USCG small boat onto the vessel for the interdiction.

5 men and 16 bales of suspected cocaine detained. https://t.co/OgMFE0WwZL",13_1894401211547136000,video,https://github.com/vidproject/x/releases/download/media-CBPAMO/13_1894401211547136000.mp4,0
CBP,core,2025-02-28T23:00:34.000Z,1895610072832643241,https://x.com/CBP/status/1895610072832643241,"Different than our CBP land partners, @CBPAMO has a unique call-of-duty, using watercraft and aircraft to protect America's borders. They are unstoppable!

Learn more about AMO here 👉 https://go.dhs.gov/ZUg

https://x.com/CBPAMO/status/1894734112285425772",CBPAMO,2025-02-26T12:59:49.000Z,1894734112285425772,https://x.com/CBPAMO/status/1894734112285425772,"Don’t Count the Days, Make the Days Count…
#BorderSecurity #WakeWednesday https://t.co/L9Y6tRY2gt",13_1894734021143240704,video,https://github.com/vidproject/x/releases/download/media-CBPAMO/13_1894734021143240704.mp4,0
CBP,core,2025-03-29T18:20:10.000Z,1906048753951240287,https://x.com/CBP/status/1906048753951240287,https://x.com/DHSgov/status/1905317581726134299,DHSgov,2025-03-27T17:54:45.000Z,1905317581726134299,https://x.com/DHSgov/status/1905317581726134299,"While touring CECOT @Sec_Noem sent a clear message to the world: criminal illegal aliens are not welcome in the United States.

President Trump is putting the safety of the American people FIRST. https://t.co/8JvCocnoc9",3_1905317575287795712,photo,https://github.com/vidproject/x/releases/download/media-DHSgov/3_1905317575287795712.jpg,0
CBP,core,2025-03-29T22:05:10.000Z,1906105378028269926,https://x.com/CBP/status/1906105378028269926,The continuation of building the remainder of the border wall is the beginning of making America safe again. https://x.com/USBPChief/status/1905409502394155482,USBPChief,2025-03-28T00:00:00.000Z,1905409502394155482,https://x.com/USBPChief/status/1905409502394155482,"Closing the Gaps!

In Yuma, AZ, 30-foot border wall panels are going up, closing seven critical gaps, and strengthening our defenses with a combination of steel bollard panels and gates. These once vulnerable openings are now being reinforced to enhance security and prevent illegal crossings.

Securing the border-One panel at a time.",3_1905330532080111616 3_1905330272360390656 3_1905330354644234240 3_1905330428531122176,photo photo photo photo,   ,0
